Brand,Model Name,Vehicle Status,Year,Availability Start Year,Availability End Year,Real-World Range (km),Energy Efficiency (Wh/km),Battery Capacity (kWh),Vehicle Weight (kg),"Acceleration (0-100 km/h, sec)",Fast Charging Speed (kW),Towing Capacity (kg),Cargo Volume (L),Price (€)
Renault,Megane E-Tech EV60 220hpRenault Megane E-Tech EV60 220hp,Discontinued,2022,2022,2025,380.0,158.0,60.0,1710.0,7.4,87.0,900.0,440.0,44489.0
Renault,Zoe ZE50 R110Renault Zoe ZE50 R110,Discontinued,2019,2019,2024,315.0,165.0,52.0,1570.0,11.4,41.0,0.0,338.0,35089.0
MG,MGS5  EV 64 kWhMG MGS5  EV 64 kWh,Available,2025,2025,,365.0,170.0,62.1,1750.0,6.3,90.0,750.0,453.0,39389.0
Fiat,Grande PandaFiat Grande Panda,Available,2024,2024,,260.0,168.0,43.8,1510.0,11.0,60.0,550.0,361.0,25089.0
Tesla,Model 3 Long Range AWD (Highland)Tesla Model 3 Long Range AWD,Discontinued,2023,2023,2025,525.0,143.0,75.0,1890.0,4.4,124.0,1000.0,682.0,52889.0
BYD,DOLPHIN 60.4 kWh (MY24)BYD DOLPHIN 60.4 kWh,Discontinued,2023,2023,2025,350.0,173.0,60.5,1730.0,7.0,65.0,0.0,345.0,34989.0
Mercedes-Benz,EQB 250+Mercedes-Benz EQB 250+,Available,2023,2023,,415.0,170.0,70.5,2100.0,8.9,90.0,1400.0,495.0,55189.0
Tesla,Model S PlaidTesla Model S Plaid,Discontinued,2022,2022,2025,560.0,170.0,95.0,2260.0,2.4,140.0,1600.0,798.0,10089.0
BMW,i4 eDrive40BMW i4 eDrive40,Discontinued,2021,2021,2024,515.0,157.0,80.7,2120.0,5.7,131.0,1600.0,470.0,62989.0
BMW,i3 120 AhBMW i3 120 Ah,Discontinued,2018,2018,2022,235.0,161.0,37.9,1340.0,7.3,47.0,0.0,260.0,39289.0
Hyundai,Kona Electric 64 kWhHyundai Kona Electric 64 kWh,Discontinued,2021,2021,2023,390.0,164.0,64.0,1760.0,7.9,64.0,3000.0,332.0,42789.0
Ford,Explorer Extended Range RWDFord Explorer Extended Range RWD,Available,2024,2024,,435.0,177.0,77.0,2090.0,6.4,120.0,1000.0,536.0,48789.0
Mercedes-Benz,EQC 400 4MATICMercedes-Benz EQC 400 4MATIC,Discontinued,2020,2020,2023,370.0,216.0,80.0,2490.0,5.1,100.0,1800.0,500.0,74989.0
Zeekr,7X Long Range RWDZeekr 7X Long Range RWD,Available,2025,2025,,490.0,192.0,94.0,2410.0,6.0,260.0,2000.0,605.0,56989.0
BYD,DOLPHIN SURF 43.2 kWh ComfortBYD DOLPHIN SURF 43.2 kWh Comfort,Available,2025,2025,,265.0,163.0,43.2,1460.0,9.1,60.0,0.0,308.0,28489.0
Changan,Deepal S05 RWDChangan Deepal S05 RWD,Available,2025,2025,,385.0,177.0,68.0,2010.0,7.5,130.0,1600.0,651.0,38989.0
MG,ZS EV Long RangeMG ZS EV Long Range,Discontinued,2021,2021,2025,370.0,185.0,68.3,1690.0,8.4,82.0,500.0,448.0,38789.0
Toyota,bZ4X FWD (MY22-24)Toyota bZ4X FWD,Available,2022,2022,,350.0,183.0,64.0,1970.0,7.5,100.0,750.0,452.0,43889.0
Mercedes-Benz,CLA 350 4MATICMercedes-Benz CLA 350 4MATIC,Available,2025,2025,,575.0,148.0,85.0,2130.0,4.9,235.0,1800.0,506.0,60289.0
BYD,TANG FlagshipBYD TANG Flagship,Available,2024,2024,,460.0,237.0,108.8,2700.0,4.9,100.0,1500.0,235.0,68589.0
Kia,EV3 Standard RangeKia EV3 Standard Range,Available,2024,2024,,325.0,169.0,55.0,1800.0,7.5,80.0,500.0,485.0,36989.0
Ford,Puma Gen-EFord Puma Gen-E,Available,2024,2024,,275.0,159.0,43.6,1560.0,8.0,85.0,750.0,566.0,34189.0
Mini,Countryman EMini Countryman E,Available,2024,2024,,380.0,170.0,64.6,1940.0,8.6,93.0,750.0,460.0,44589.0
XPENG,G6 RWD Long Range (MY25)XPENG G6 RWD Long Range,Available,2025,2025,,435.0,184.0,80.0,2190.0,6.7,290.0,1500.0,571.0,48289.0
Škoda,Elroq 60 (MY25)Skoda Elroq 60,Available,2024,2024,,350.0,169.0,59.0,1970.0,8.5,110.0,1000.0,470.0,37889.0
Geely,EX5Geely EX5,Available,2025,2025,,330.0,182.0,60.2,1810.0,6.9,95.0,0.0,461.0,36789.0
Dongfeng,Box 42.3 kWhDongfeng Box 42.3 kWh,Available,2024,2024,,255.0,157.0,40.0,1430.0,12.5,51.0,,326.0,24489.0
MG,IM5 Long RangeMG IM5 Long Range,Available,2025,2025,,530.0,182.0,96.5,2210.0,4.9,250.0,,475.0,51789.0
Tesla,Model Y RWD (CATL LFP)Tesla Model Y RWD,Discontinued,2022,2022,2025,345.0,165.0,57.0,1980.0,6.9,108.0,1600.0,971.0,47889.0
BYD,ATTO 3 (MY25)BYD ATTO 3,Available,2025,2025,,340.0,178.0,60.5,1820.0,7.3,75.0,750.0,440.0,41089.0
Audi,Q4 e-tron 40Audi Q4 e-tron 40,Discontinued,2021,2021,2024,405.0,189.0,76.6,2120.0,8.5,125.0,1000.0,520.0,56589.0
Kia,EV6 Long Range 2WDKia EV6 Long Range 2WD,Discontinued,2021,2021,2024,410.0,180.0,74.0,1980.0,7.3,200.0,1600.0,532.0,51689.0
Renault,Scenic E-Tech EV87 220hp (TU2025)Renault Scenic E-Tech EV87 220hp,Available,2025,2025,,480.0,181.0,87.0,1910.0,7.9,95.0,1100.0,545.0,44689.0
